bls_series_id,bls_item_code,bls_item_name,area_code,area_name,year,period,date,price_usd,grams_per_priced_unit,edible_fraction,edible_grams_per_priced_unit,price_per_100g_usd,fdc_id,fdc_description,protein_g_per_100g,fiber_g_per_100g,protein_g_per_dollar,fiber_g_per_dollar,value_source
APU0000701111,701111,"Flour, white, all purpose, per lb. (453.6 gm)",0000,U.S. city average,2026,M06,2026-06-01,0.544,453.6,1,453.6,0.1199,168894,"Wheat flour, white, all-purpose, enriched, bleached (SR Legacy, NDB 20081)",10.3,2.7,85.88,22.51,portal-data (3 sig figs)
APU0200701111,701111,"Flour, white, all purpose, per lb. (453.6 gm)",0200,Midwest,2019,M10,2019-10-01,0.379,453.6,1,453.6,0.0836,168894,"Wheat flour, white, all-purpose, enriched, bleached (SR Legacy, NDB 20081)",10.3,2.7,123.27,32.31,portal-data (3 sig figs)
APU0300701111,701111,"Flour, white, all purpose, per lb. (453.6 gm)",0300,South,2026,M06,2026-06-01,0.489,453.6,1,453.6,0.1078,168894,"Wheat flour, white, all-purpose, enriched, bleached (SR Legacy, NDB 20081)",10.3,2.7,95.54,25.05,portal-data (3 sig figs)
APU0400701111,701111,"Flour, white, all purpose, per lb. (453.6 gm)",0400,West,2022,M05,2022-05-01,0.653,453.6,1,453.6,0.1440,168894,"Wheat flour, white, all-purpose, enriched, bleached (SR Legacy, NDB 20081)",10.3,2.7,71.55,18.76,portal-data (3 sig figs)
APU0000701312,701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",0000,U.S. city average,2026,M06,2026-06-01,1.089,453.6,1,453.6,0.2401,168877,"Rice, white, long-grain, regular, raw, enriched (SR Legacy, NDB 20044)",7.13,1.3,29.70,5.41,protein from existing repo CSV (full precision); fiber from portal-data (3 sig figs)
APU0200701312,701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",0200,Midwest,2024,M10,2024-10-01,0.927,453.6,1,453.6,0.2044,168877,"Rice, white, long-grain, regular, raw, enriched (SR Legacy, NDB 20044)",7.13,1.3,34.89,6.36,protein from existing repo CSV (full precision); fiber from portal-data (3 sig figs)
APU0300701312,701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",0300,South,2026,M06,2026-06-01,1.213,453.6,1,453.6,0.2674,168877,"Rice, white, long-grain, regular, raw, enriched (SR Legacy, NDB 20044)",7.13,1.3,26.66,4.86,protein from existing repo CSV (full precision); fiber from portal-data (3 sig figs)
APU0400701312,701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",0400,West,2025,M04,2025-04-01,0.879,453.6,1,453.6,0.1938,168877,"Rice, white, long-grain, regular, raw, enriched (SR Legacy, NDB 20044)",7.13,1.3,36.79,6.71,protein from existing repo CSV (full precision); fiber from portal-data (3 sig figs)
APU0000701322,701322,"Spaghetti and macaroni, per lb. (453.6 gm)",0000,U.S. city average,2026,M06,2026-06-01,1.367,453.6,1,453.6,0.3014,169736,"Pasta, dry, enriched (SR Legacy, NDB 20120)",13.04,3.2,43.27,10.62,protein from existing repo CSV (full precision); fiber from portal-data (3 sig figs)
APU0100701322,701322,"Spaghetti and macaroni, per lb. (453.6 gm)",0100,Northeast,2024,M04,2024-04-01,1.823,453.6,1,453.6,0.4019,169736,"Pasta, dry, enriched (SR Legacy, NDB 20120)",13.04,3.2,32.45,7.96,protein from existing repo CSV (full precision); fiber from portal-data (3 sig figs)
