food,category,value,package,package_price_usd,price_basis
Whole wheat flour,Whole grains,77.8,5 lb bag,3.12,Walmart GV
Popcorn kernels,Whole grains,57.7,2 lb bag,2.28,Walmart GV
Pearled barley (dry),Whole grains,57.1,16 oz bag,1.24,Walmart GV
Old-fashioned rolled oats,Whole grains,35.8,42 oz canister,3.36,Walmart GV
Whole wheat spaghetti,Whole grains,35.4,16 oz box,1.18,Walmart GV
Bran flakes cereal,Whole grains,30.1,17.3 oz box,2.98,Walmart GV
Bulgur wheat (dry),Whole grains,24.4,24 oz bag,3.49,Walmart
Oat bran (dry),Whole grains,22.5,18 oz bag,3.49,Walmart
Brown rice (dry),Whole grains,17.5,2 lb bag,1.87,Walmart GV
100% whole wheat bread,Whole grains,17.3,20 oz loaf,1.97,Walmart GV
Quinoa (dry),Whole grains,10.6,2 lb bag,5.97,Walmart GV
